-68,-76,-66
-84,-60,-63
-77,-60,-63
-77,-64,-63
-65,-59,-69
-76,-61,-66
-75,-50,-57
-78,-52,-63
-66,-61,-67
-73,-61,-64
-83,-74,-63
-76,-57,-71
-74,-65,-63
-70,-64,-65
-76,-66,-60
-66,-61,-47
-72,-67,-63
-83,-68,-81
-76,-67,-67
-83,-59,-64
-75,-59,-63
-71,-63,-58
-81,-62,-64
-71,-63,-69
-69,-53,-66
-73,-65,-60
-81,-75,-70
-72,-73,-64
-72,-61,-62
-82,-60,-74
-80,-60,-62
-71,-67,-63
-72,-76,-58
-67,-70,-53
-72,-70,-64
-87,-58,-49
-76,-71,-62
-70,-58,-64
-70,-66,-61
-78,-64,-49
-68,-67,-60
-72,-79,-59
-72,-77,-60
-69,-58,-69
-61,-58,-64
-79,-58,-64
-66,-63,-68
-66,-80,-66
-76,-72,-65
-77,-64,-60
