-73,-72,-63
-74,-78,-57
-67,-74,-55
-82,-70,-62
-80,-77,-70
-84,-78,-63
-75,-62,-65
-68,-64,-60
-76,-73,-58
-77,-70,-64
-78,-78,-59
-71,-63,-55
-83,-62,-60
-74,-75,-64
-82,-76,-66
-80,-70,-60
-67,-61,-54
-73,-65,-66
-82,-70,-65
-83,-84,-59
-73,-81,-61
-86,-63,-49
-66,-64,-62
-73,-74,-60
-81,-68,-54
-82,-81,-58
-71,-68,-69
-75,-64,-64
-74,-68,-62
-76,-79,-59
-86,-71,-62
-83,-73,-60
-69,-71,-75
-89,-66,-64
-81,-67,-59
-71,-66,-54
-70,-60,-59
-73,-70,-62
-75,-68,-67
-81,-79,-55
-84,-66,-59
-87,-67,-62
-72,-69,-64
-76,-66,-72
-83,-78,-65
-77,-70,-56
-79,-87,-54
-91,-76,-57
-74,-65,-66
-75,-67,-60
