-82,-77,-74
-79,-73,-71
-86,-87,-83
-79,-82,-88
-77,-84,-70
-83,-82,-77
-84,-86,-74
-81,-77,-69
-84,-81,-71
-79,-77,-72
-84,-92,-72
-82,-86,-69
-83,-83,-68
-90,-79,-67
-94,-87,-75
-78,-89,-69
-78,-78,-71
-83,-70,-76
-83,-77,-92
-83,-81,-75
-81,-85,-76
-84,-79,-81
-85,-85,-82
-77,-78,-79
-81,-86,-81
-82,-74,-77
-79,-85,-75
-73,-82,-81
-75,-92,-74
-88,-84,-77
-77,-83,-66
-86,-82,-67
-76,-83,-65
-83,-85,-68
-78,-83,-71
-75,-83,-68
-81,-87,-65
-77,-84,-73
-87,-86,-69
-87,-84,-69
-84,-87,-73
-85,-82,-72
-85,-78,-75
-89,-91,-73
-88,-81,-74
-80,-79,-79
-84,-85,-80
-85,-81,-83
-83,-82,-80
-79,-84,-78
