-78,-65,-73
-75,-69,-75
-81,-64,-71
-82,-68,-72
-70,-69,-68
-72,-80,-71
-68,-77,-72
-71,-76,-79
-77,-76,-67
-77,-75,-75
-80,-77,-70
-78,-75,-72
-70,-68,-74
-83,-71,-69
-79,-78,-73
-76,-70,-66
-74,-75,-70
-81,-68,-70
-68,-64,-72
-79,-69,-71
-77,-78,-74
-71,-72,-65
-79,-67,-72
-75,-65,-63
-70,-71,-65
-78,-69,-66
-72,-60,-78
-90,-78,-71
-74,-71,-75
-76,-77,-71
-72,-88,-63
-75,-72,-71
-74,-76,-66
-76,-67,-72
-73,-67,-69
-72,-79,-75
-81,-63,-64
-75,-71,-66
-83,-72,-71
-73,-71,-65
-76,-64,-68
-74,-73,-74
-76,-69,-76
-75,-67,-73
-74,-78,-74
-82,-75,-71
-81,-76,-78
-68,-76,-73
-81,-78,-72
-76,-65,-70
