-66,-80,-75
-68,-84,-73
-67,-77,-82
-70,-79,-71
-70,-85,-72
-79,-80,-78
-80,-80,-73
-70,-77,-64
-80,-69,-68
-74,-72,-71
-66,-74,-59
-62,-82,-71
-73,-79,-65
-72,-81,-55
-72,-78,-75
-68,-76,-72
-64,-75,-65
-73,-80,-69
-74,-79,-67
-73,-80,-66
-69,-75,-81
-73,-72,-75
-62,-74,-71
-56,-79,-77
-72,-83,-85
-79,-76,-75
-82,-80,-65
-83,-80,-81
-67,-79,-74
-64,-72,-62
-78,-81,-62
-80,-72,-71
-75,-77,-69
-69,-78,-70
-84,-80,-66
-70,-83,-64
-68,-79,-81
-69,-75,-66
-70,-84,-73
-80,-81,-72
-73,-78,-69
-66,-76,-66
-69,-74,-72
-71,-76,-78
-61,-80,-81
-64,-80,-70
-84,-84,-79
-79,-77,-63
-73,-74,-64
-76,-74,-63
